Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,5,3,11,12,6,4,9,7,2,5,10,8,1,Male,Black or African American,Matthews,Applied Mathematics,No
I am currently a freshman at Harvard.,8,5,11,9,3,8,12,6,2,7,10,4,1,Female,Asian,Pennypacker,Computer Science,No
I am currently a freshman at Harvard.,8,3,8,9,6,4,10,5,1,11,12,2,7,Female,Asian,Canaday,Applied Mathematics,No
I am currently a freshman at Harvard.,3,1,9,10,7,2,3,8,4,5,11,6,12,Male,White,Grays,"Government,    Molecular and Cellular Biology",No
I am currently a freshman at Harvard.,7,1,12,11,8,2,9,7,3,6,10,4,5,Female,Asian,Canaday,Economics,No
I am currently a freshman at Harvard.,8,5,11,9,6,7,12,2,4,8,10,3,1,Female,Asian,Hollis,"Computer Science,    Mathematics",No
I am currently a freshman at Harvard.,3,2,11,9,7,6,5,4,3,10,12,8,1,Male,White,Grays,History,No
I am currently a freshman at Harvard.,7,6,5,4,2,8,12,10,3,11,7,1,9,Female,Asian,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,8,4,10,11,3,7,12,6,2,8,9,5,1,Male,Asian,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,7,6,10,11,4,5,12,7,2,8,9,3,1,Female,White,Grays,    Mechanical Engineering,No
I am currently a freshman at Harvard.,7,2,12,11,4,6,9,7,1,8,10,3,5,Male,Asian,Grays,Computer Science,No
I am currently a freshman at Harvard.,4,5,12,10,6,1,7,8,3,9,11,4,2,Female,Hispanic or Latino,Pennypacker,Government,No
I am currently a freshman at Harvard.,8,8,7,2,12,10,11,4,3,1,5,9,6,Female,Hispanic or Latino,Holworthy,Human Developmental and Regenerative Biology,No
I am currently a freshman at Harvard.,8,3,12,10,4,5,9,8,1,6,11,7,2,Male,White,Holworthy,Government,No
I am currently a freshman at Harvard.,8,5,12,11,7,3,2,9,1,8,10,6,4,Male,White,Grays,    Near Eastern Languages and Civilizations,Yes
I am currently a freshman at Harvard.,5,11,10,8,3,4,5,12,6,2,9,1,7,Female,White,Holworthy,Environmental Science and Public Policy,No
I am currently a freshman at Harvard.,8,5,12,11,7,1,8,4,6,3,10,9,2,Male,White,Holworthy,"Applied Mathematics,Economics",Yes
I am currently a freshman at Harvard.,8,2,7,8,4,3,12,10,1,6,9,5,11,Male,Asian,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,5,5,11,12,4,7,3,8,2,9,10,6,1,Male,White,Pennypacker,Electrical Engineering,Yes
I am currently a freshman at Harvard.,3,5,12,10,4,8,11,3,6,7,9,1,2,Female,Middle Eastern or North African,Wigglesworth,    Sociology,No
I am currently a freshman at Harvard.,4,3,12,11,4,8,9,7,2,1,10,6,5,Male,Asian,Weld,Computer Science,No
I am currently a freshman at Harvard.,8,5,9,10,3,6,12,8,4,2,11,7,1,Female,Asian,Grays,    Sociology,No
I am currently a freshman at Harvard.,8,4,10,9,5,6,12,11,1,7,8,3,2,Female,Asian,Grays,Government,No
I am currently a freshman at Harvard.,6,1,11,5,4,7,10,8,3,9,12,2,6,Male,Hispanic or Latino,Holworthy,"Applied Mathematics,History of Art and Architecture,    Social Studies",No
